#           k/h    P           
 0.30946035E+01 0.54315610E+01
 0.31571169E+01 0.51659346E+01
 0.32208965E+01 0.49130387E+01
 0.32859612E+01 0.46722755E+01
 0.33523436E+01 0.44430833E+01
 0.34200635E+01 0.42249255E+01
 0.34891553E+01 0.40172830E+01
 0.35596390E+01 0.38196595E+01
 0.36315503E+01 0.36315753E+01
 0.37049105E+01 0.34525783E+01
 0.37797565E+01 0.32822435E+01
 0.38561103E+01 0.31201637E+01
 0.39340112E+01 0.29659469E+01
 0.40134816E+01 0.28192189E+01
 0.40945606E+01 0.26796253E+01
 0.41772747E+01 0.25468268E+01
 0.42616630E+01 0.24204991E+01
 0.43477521E+01 0.23003318E+01
 0.44355845E+01 0.21860294E+01
 0.45251870E+01 0.20773110E+01
 0.46166043E+01 0.19739095E+01
 0.47098680E+01 0.18755713E+01
 0.48050113E+01 0.17820566E+01
 0.49020805E+01 0.16931344E+01
 0.50011067E+01 0.16085794E+01
 0.51021385E+01 0.15281785E+01
 0.52052059E+01 0.14517317E+01
 0.53103604E+01 0.13790497E+01
 0.54176340E+01 0.13099532E+01
 0.55270805E+01 0.12442694E+01
 0.56387320E+01 0.11818292E+01
 0.57526445E+01 0.11224734E+01
 0.58688526E+01 0.10660539E+01
 0.59874139E+01 0.10124295E+01
 0.61083646E+01 0.96146470E+00
 0.62317648E+01 0.91303003E+00
 0.63576517E+01 0.86700213E+00
 0.64860878E+01 0.82326299E+00
 0.66171122E+01 0.78169900E+00
 0.67507896E+01 0.74220312E+00
 0.68871617E+01 0.70467591E+00
 0.70262942E+01 0.66902173E+00
 0.71682310E+01 0.63514763E+00
 0.73130426E+01 0.60296547E+00
 0.74607725E+01 0.57239246E+00
 0.76114936E+01 0.54334974E+00
 0.77652512E+01 0.51576138E+00
 0.79221239E+01 0.48955566E+00
 0.80821657E+01 0.46466461E+00
 0.82454319E+01 0.44102335E+00
 0.84120045E+01 0.41856974E+00
 0.85819330E+01 0.39724490E+00
 0.87553043E+01 0.37699348E+00
 0.89321690E+01 0.35776249E+00
 0.91126146E+01 0.33950058E+00
 0.92966976E+01 0.32215926E+00
 0.94845066E+01 0.30569300E+00
 0.96761017E+01 0.29005846E+00
 0.98715773E+01 0.27521449E+00
 0.10070992E+02 0.26112160E+00
 0.10274444E+02 0.24774200E+00
 0.10481996E+02 0.23503989E+00
 0.10693750E+02 0.22298150E+00
 0.10909773E+02 0.21153477E+00
 0.11130171E+02 0.20066939E+00
 0.11355009E+02 0.19035618E+00
 0.11584401E+02 0.18056683E+00
 0.11818416E+02 0.17127483E+00
 0.12057169E+02 0.16245583E+00
 0.12300735E+02 0.15408641E+00
 0.12549231E+02 0.14614375E+00
 0.12802735E+02 0.13860615E+00
 0.13061374E+02 0.13145329E+00
 0.13325237E+02 0.12466572E+00
 0.13594419E+02 0.11822484E+00
 0.13869050E+02 0.11211314E+00
 0.14149217E+02 0.10631428E+00
 0.14435056E+02 0.10081249E+00
 0.14726656E+02 0.95592253E-01
 0.15024162E+02 0.90639450E-01
